id	A	B	C	D	E	F	G
187.0	B1	E3	B1	G1	B1		
188.0	F5	G8	H10	G8			
189.0		I9	G8	C2			
190.0	F6	E8	D3	E8			
191.0	F6	J1	J1	J1			
192.0	C7	C7	B7				
193.0	E2	E2	A3	A3	E2	E2	
194.0	F6	C10	C10	C10			
195.0	F6	F3	F3	F3			
196.0	A9	G8	A9	A9	A9		
197.0	F6	F2	E3	E2			
198.0	F6	J1	J1	F1			
199.0	A9	A9	A9	D8	A9		
200.0	F6	J10	J10	J10	J10		
201.0	F6	E2	E2	E2			
202.0			D10				
203.0	J2	I9	F5	F5			
204.0	F6	A3	A3				
